Netid  State    Recv-Q   Send-Q                        Local Address:Port                                      Peer Address:Port                                
u_str  ESTAB    0        0               /run/systemd/journal/stdout 21203                                                * 21698                               
u_str  ESTAB    0        0                                         * 31072                                                * 29994                               
u_str  ESTAB    0        0                                         * 27619                                                * 27620                               
u_str  ESTAB    0        0                                         * 21101                                                * 21100                               
u_str  ESTAB    0        0                        /run/user/1000/bus 33090                                                * 32608                               
u_str  ESTAB    0        0                                         * 32781                                                * 32148                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31855                                                * 30672                               
u_str  ESTAB    0        0                                         * 22682                                                * 22683                               
u_str  ESTAB    0        0                                         * 31143                                                * 30182                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 27884                                                * 27883                               
u_str  ESTAB    0        0                                         * 25274                                                * 24483                               
u_str  ESTAB    0        0                                         * 20324                                                * 20977                               
u_str  ESTAB    0        0                        /run/user/1000/bus 30926                                                * 30925                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28713                                                * 28712                               
u_str  ESTAB    0        0                         /run/user/121/bus 26386                                                * 27071                               
u_str  ESTAB    0        0                                         * 21100                                                * 21101                               
u_str  ESTAB    0        0                                         * 26490                                                * 26492                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 32220                                                * 32801                               
u_str  ESTAB    0        0                                         * 30673                                                * 31856                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31743                                                * 31742                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 24263                                                * 24262                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 30182                                                * 31143                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 27628                                                * 27939                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 25139                                                * 25138                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 21106                                                * 20399                               
u_str  ESTAB    0        0                                         * 20255                                                * 20975                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 30062                                                * 31116                               
u_str  ESTAB    0        0                                         * 28712                                                * 28713                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 21237                                                * 21236                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 26491                                                * 26489                               
u_str  ESTAB    0        0                                         * 32801                                                * 32220                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31794                                                * 30599                               
u_str  ESTAB    0        0                        /run/user/1000/bus 31659                                                * 31658                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 25209                                                * 24412                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 22945                                                * 22944                               
u_str  ESTAB    0        0                                         * 31524                                                * 31525                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 21072                                                * 20463                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 21103                                                * 20256                               
u_str  ESTAB    0        0                         /run/user/121/bus 27984                                                * 28690                               
u_str  ESTAB    0        0                                         * 27354                                                * 26483                               
u_str  ESTAB    0        0                                         * 21236                                                * 21237                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 32148                                                * 32781                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31840                                                * 30650                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31712                                                * 31711                               
u_str  ESTAB    0        0                                         * 24270                                                * 25170                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 30205                                                * 31212                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 29798                                                * 30838                               
u_str  ESTAB    0        0                                         * 27883                                                * 27884                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 25119                                                * 25118                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 21105                                                * 20395                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 29992                                                * 31071                               
u_str  ESTAB    0        0                                         * 27616                                                * 27617                               
u_str  ESTAB    0        0                         /run/user/121/bus 26498                                                * 27375                               
u_str  ESTAB    0        0                                         * 21231                                                * 21232                               
u_str  ESTAB    0        0                                         * 26489                                                * 26491                               
u_str  ESTAB    0        0                        /run/user/1000/bus 32785                                                * 32156                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 31804                                                * 30602                               
u_str  ESTAB    0        0                                         * 21478                                                * 21479                               
u_str  ESTAB    0        0               /run/user/1000/pulse/native 30224                                                * 31221                               
u_str  ESTAB    0        0                                         * 27744                                                * 27745                               
u_str  ESTAB    0        0                                         * 21987                                                * 0                                   
u_str  ESTAB    0        0               /run/systemd/journal/stdout 14825                                                * 14642                               
u_str  ESTAB    0        0                                         * 31071                                                * 29992                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 28710                                                * 28709                               
u_str  ESTAB    0        0                                         * 26501                                                * 26502                               
u_str  ESTAB    0        0                                         * 38252                                                * 39137                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 32235                                                * 32803                               
u_str  ESTAB    0        0                                         * 31136                                                * 31137                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 27623                                                * 27917                               
u_str  ESTAB    0        0                                         * 14642                                                * 14825                               
u_str  ESTAB    0        0                                         * 30894                                                * 30895                               
u_str  ESTAB    0        0                                         * 28683                                                * 28684                               
u_str  ESTAB    0        0                                         * 21936                                                * 21497                               
u_str  ESTAB    0        0                                         * 26554                                                * 27377                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 39137                                                * 38252                               
u_str  ESTAB    0        0                                         * 30720                                                * 32147                               
u_str  ESTAB    0        0                                         * 30651                                                * 31841                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 30209                                                * 31214                               
u_str  ESTAB    0        0                                         * 27918                                                * 27624                               
u_str  ESTAB    0        0                                         * 25169                                                * 24268                               
u_str  ESTAB    0        0                                         * 21989                                                * 0                                   
u_str  ESTAB    0        0                     @/tmp/dbus-ATABvwNTlB 30895                                                * 30894                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 29653                                                * 29652                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 27620                                                * 27619                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 21108                                                * 21098                               
u_str  ESTAB    0        0                     @/tmp/dbus-arxCE4kemL 27376                                                * 26553                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 32146                                                * 30718                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31834                                                * 30624                               
u_str  ESTAB    0        0                                         * 31745                                                * 31746                               
u_str  ESTAB    0        0                                         * 24265                                                * 24266                               
u_str  ESTAB    0        0                                         * 21468                                                * 21469                               
u_str  ESTAB    0        0                                         * 31221                                                * 30224                               
u_str  ESTAB    0        0                                         * 27939                                                * 27628                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 24268                                                * 25169                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 21238                                                * 21772                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 20977                                                * 20324                               
u_str  ESTAB    0        0                                         * 30925                                                * 30926                               
u_str  ESTAB    0        0                                         * 28709                                                * 28710                               
u_str  ESTAB    0        0                                         * 27374                                                * 26497                               
u_str  ESTAB    0        0                                         * 26553                                                * 27376                               
u_str  ESTAB    0        0                                         * 32154                                                * 32155                               
u_str  ESTAB    0        0           /var/run/dbus/system_bus_socket 32145                                                * 30719                               
u_str  ESTAB    0        0                                         * 31742                                                * 31743                               
u_str  ESTAB    0        0                                         * 31213                                                * 30207                               
u_str  ESTAB    0        0                         /run/user/121/bus 28000                                                * 27999                               
u_str  ESTAB    0        0                                         * 25118                                                * 25119                               
u_str  ESTAB    0        0                                         * 21772                                                * 21238                               
u_str  ESTAB    0        0                                         * 20399                                                * 21106                               
u_str  ESTAB    0        0                                         * 30897                                                * 30898                               
u_str  ESTAB    0        0                                         * 30738                                                * 29699                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 27617                                                * 27616                               
u_str  ESTAB    0        0                         /run/user/121/bus 26497                                                * 27374                               
u_str  ESTAB    0        0                         /run/user/121/bus 26549                                                * 26548                               
u_str  ESTAB    0        0                                         * 30719                                                * 32145                               
u_str  ESTAB    0        0                        /run/user/1000/bus 31845                                                * 31844                               
u_str  ESTAB    0        0                                         * 30623                                                * 31833                               
u_str  ESTAB    0        0                                         * 24412                                                * 25209                               
u_str  ESTAB    0        0                                         * 22944                                                * 22945                               
u_str  ESTAB    0        0                                         * 31142                                                * 30180                               
u_str  ESTAB    0        0                        /run/user/1000/bus 30750                                                * 29680                               
u_str  ESTAB    0        0                                         * 20463                                                * 21072                               
u_str  ESTAB    0        0                        /run/user/1000/bus 30898                                                * 30897                               
u_str  ESTAB    0        0                                         * 27633                                                * 27942                               
u_str  ESTAB    0        0                         /run/user/121/bus 26483                                                * 27354                               
u_str  ESTAB    0        0                                         * 25276                                                * 24495                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 26546                                                * 26545                               
u_str  ESTAB    0        0                      @/tmp/.ICE-unix/1444 32239                                                * 32807                               
u_str  ESTAB    0        0                                         * 30672                                                * 31855                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 31746                                                * 31745                               
u_str  ESTAB    0        0                                         * 24262                                                * 24263                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 21469                                                * 21468                               
u_str  ESTAB    0        0                                         * 31212                                                * 30205                               
u_str  ESTAB    0        0               /run/systemd/journal/stdout 29699                                                * 30738                               
u_str  ESTAB    0        0                                         * 27999                                                * 28000                               
u_str  ESTAB    0        0                                         * 25138                                                * 25139                               
u_str  ESTAB    0        0                                         * 20256                                                * 21103                               
u_str  ESTAB    0        0                        @/tmp/.X11-unix/X0 29894                                                * 30896                               
u_str  ESTAB    0        0                         /run/user/121/bus 27942                                                * 27633                               
u_str  ESTAB    0        0                                         * 27372                                                * 27373                               
